Company,Post,Location,Stipend,Experience
KanpurWants,Graphic Designer,Kanpur,275000.0,1 year(s)
Herbal Deck,Senior Graphic Designer,Indore,250000.0,1 year(s)
SR INTERIOR DESIGNS PRIVATE LIMITED,Senior Interior Designer,Ahmedabad,250000.0,1 year(s)
Prakash Khatri Dot Com,Human Resources (HR) Manager,"Gandhinagar, Modasa, Vijapur, Sabarkatha, Himmatnagar, Idar, Aravalli, Khedbrahma, Prantij",212000.0,1 year(s)
Amin Migration,Visa Counsellor,Ahmedabad,200000.0,1 year(s)
Anemative Private Limited,Senior Unity Game Developer,Surat,370000.0,1 year(s)
Growth & Value Consultants Private Limited,Chartered Accountant (CA),"Chandigarh, Mohali",480000.0,1 year(s)
Mr n Mrs Pet,Lawyer,Jaipur,200000.0,1 year(s)
Happiness Plans,General Management Executive,Indore,200000.0,0 year(s)
Fab Impressions Architects & Interior Designers,ARCHITECT/INTERIOR DESIGNER,Jaipur,200000.0,1 year(s)
Elora Fashion,Social Media Marketing Executive,Surat,200000.0,1 year(s)
Akaaro,Legal Manager,Pune,360000.0,1 year(s)
Credit Samadhaan,Telecaller,Indore,400000.0,0 year(s)
SR INTERIOR DESIGNS PRIVATE LIMITED,Human Resources (HR) Executive,Ahmedabad,216000.0,1 year(s)
Freecharge Payments Technology Private Limited,Assistant Manager Microfinance Field Sales,Nandyal,450000.0,0 year(s)
Happiness Plans,Finance Executive,Indore,200000.0,0 year(s)
Reflex Realty LLP,Legal Associate,Mumbai,200000.0,1 year(s)
Unbend Martech Private Limited,Front Desk Receptionist,Pimpri-Chinchwad,200000.0,1 year(s)
GIGL Summaries,Human Resources (HR) Executive,"Chandigarh, Mohali",250000.0,1 year(s)
ONE XL INFO LLP,Video Team Manager,Pune,600000.0,1 year(s)
MBAGATE,Content Writer,Lucknow,200000.0,1 year(s)
Registration Arena,Company Secretary (CS),Pimpri-Chinchwad,200000.0,0 year(s)
Aikyam Fellows,Junior Operations Associate,Kochi,200000.0,0 year(s)
ONE XL INFO LLP,UI/UX Designer,Pune,300000.0,1 year(s)
ONE XL INFO LLP,Web Developer,Pune,300000.0,1 year(s)
Motoflux Automotive Solutions Private Limited (Car101),Digital Marketing Manager,Pune,224000.0,1 year(s)
ONE XL INFO LLP,Node.js Developer,Pune,300000.0,1 year(s)
CACR,Field Officer (Gender Sensitisation),"Mumbai, Palghar, Raigad",360000.0,1 year(s)
ONE XL INFO LLP,Testing Lead/Manager,"Pune, Thergaon",350000.0,1 year(s)
ONE XL INFO LLP,React Developer,Pune,300000.0,1 year(s)
ONE XL INFO LLP,WordPress Developer,Pune,300000.0,1 year(s)
Agha Caravan International,Client Acquisition Executive,Mumbai,250000.0,1 year(s)
E Publication Services Pvt Ltd,Client Relationship Executive,Panchkula,200000.0,0 year(s)
Bluestone Travels,Junior Social Media Marketing Specialist,Ahmedabad,240000.0,0 year(s)
Kathanika Media,Associate Video Editor,Hyderabad,200000.0,1 year(s)
Rudra Associates,Chartered Accountant (CA),Surat,400000.0,1 year(s)
Axiom Gen Nxt India Private Limited,Senior Web Developer,Bangalore,500000.0,1 year(s)
Manufacture Design (OPC) Private Limited,Accountant,Pune,205000.0,1 year(s)
Intesome,2D Animator,Work from home,200000.0,0 year(s)
Intesome,After Effects & 2D Animator,Work from home,200000.0,0 year(s)
ONE XL INFO LLP,UI/UX Developer,Pune,300000.0,1 year(s)
Intesome,Adobe After Effects Design/Animator,Work from home,200000.0,0 year(s)
Intesome,Motion Graphics Designer & 2D Animator,Work from home,200000.0,0 year(s)
Rarity Marble Private Limited,Corporate Sales Executive,Ranchi,200000.0,0 year(s)
Buddha Education Association Incorporation,Digital Marketing Associate,Pune,200000.0,0 year(s)
Cosmosphere International Pvt Ltd,Business Development Executive - Sales,"Kolkata, Bihar, Jharkhand",280000.0,1 year(s)
WhizJuniors,Relationship Manager,Mumbai,200000.0,1 year(s)
Saroj Education Group,Faculty In Engineering(B.Tech Or M.Tech Candidates Only),Lucknow,200000.0,0 year(s)
Pakhopeasy Self-learning Solutions Pvt. Ltd.,Field Sales And Marketing,Mumbai,200000.0,1 year(s)
Adwallz Outdoor Advertising Private Limited,Operations Associate,Mumbai,240000.0,1 year(s)
Kokan Kala Va Shikshan Vikas Sanstha,Project Coordinator,Mumbai,200000.0,1 year(s)
Agha Caravan International,Junior Interior Designer,Mumbai,200000.0,1 year(s)
Aashni + Co,Fashion Coordinator,Mumbai,242000.0,1 year(s)
TNG Enterprise,Telecaller,Hyderabad,210000.0,0 year(s)
Agha Caravan International,Human Resources (HR) Executive,Mumbai,200000.0,1 year(s)
Leafoberryy,Administration Executive,Mumbai,300000.0,1 year(s)
Agha Caravan International,Accountant,Mumbai,200000.0,1 year(s)
Sangam Multiservices,Legal Executive,Mumbai,250000.0,1 year(s)
J K Diamonds Institute Of Gems & Jewelry,Business Development Executive,Mumbai,224000.0,0 year(s)
Vibrant Publishers,E-Commerce Lead,Mumbai,300000.0,1 year(s)
Scale Labs,Sales & Operations Executive,Hyderabad,240000.0,1 year(s)
Elevate X Solutions,Customer Service Executive,Jaipur,200000.0,1 year(s)
Scale Labs,Logistics Executive,Hyderabad,200000.0,1 year(s)
Scalar Tech Media Private Limited,Performance Marketing Manager/Executive,Mumbai,350000.0,1 year(s)
HARDYS RETREAT,Administration Manager,Koti,200000.0,1 year(s)
Adwallz Outdoor Advertising Private Limited,Sales And Marketing Manager,Mumbai,200000.0,1 year(s)
BitKea Technologies LLP,Account Success Manager,Work from home,300000.0,1 year(s)
Agha Caravan International,Telecaller,Mumbai,200000.0,0 year(s)
ASAR & SONS IMPEX LLP,Data Entry Associate,Hyderabad,216000.0,0 year(s)
Elegant Marbles Limited,Store Manager,Mumbai,200000.0,0 year(s)
House 2 My Home,Associate Creative Designer,Bangalore,230500.0,1 year(s)
Lime Interiors,Accountant,Mumbai,215000.0,1 year(s)
Credeb Advisors LLP,Customer Service (International Voice Process),"Thane, Mumbai, Vashi, Ambernath, Panvel",200000.0,1 year(s)
Mudita,Administration Executive,Mumbai,200000.0,1 year(s)
UNIQUE SQUARE,Business Development Executive,Bengaluru,305000.0,1 year(s)
Zigsaw Consultancy,Business Development Executive,Mumbai,300000.0,1 year(s)
Catalyst Crew,Senior Video Editor,Mumbai,201000.0,1 year(s)
Mudita,Accounts Executive,Mumbai,200000.0,1 year(s)
Techcanvass,Associate Recruiter,"Thane, Navi Mumbai, Mumbai",200000.0,1 year(s)
Ace 360,Business Development Executive,Mumbai,300000.0,1 year(s)
CyberFrat,Video Editor,Mumbai,300000.0,1 year(s)
Digitalist,Junior Social Media Marketing Associate,Bangalore,252000.0,0 year(s)
Digitizing Mart,Social Media Manager,Mumbai,265000.0,1 year(s)
Satish  Agarwal,Business Development Executive,"Noida, Delhi",200000.0,1 year(s)
EQL CLASSES,Education Counsellor,Pune,300000.0,1 year(s)
Mudita,Human Resources (HR) Executive,Mumbai,200000.0,1 year(s)
Epesign Technologies Private Limited,Embedded Systems Associate,Bangalore,520000.0,1 year(s)
Mumbai Metro One Private Limited,Customer Service Executive,Mumbai,260000.0,0 year(s)
Ace 360,Creative Designer,Mumbai,200000.0,1 year(s)
Santos Ojha,Telecaller,Greater Noida West,200000.0,1 year(s)
Mumbai Metro One Private Limited,Metro Train Pilot,Mumbai,322000.0,0 year(s)
Internovo Ventures Private Limited,Digital Marketing Specialist,Mumbai,420000.0,1 year(s)
Scalar Tech Media Private Limited,Junior Corporate Sales Executive,Mumbai,300000.0,0 year(s)
Gold Coast Films LLP,Business Development Executive,Mumbai,500000.0,1 year(s)
M/S. S.C. LEGALS,Associate - Legal,Kurla,500000.0,1 year(s)
Qrata,Corporate Sales Specialist,Mumbai,800000.0,1 year(s)
Samarik Digital (Samarik Tech India Private Limited),Junior Social Media Marketing Manager,Mumbai,200000.0,1 year(s)
Mudita,Senior Graphic Designer,Mumbai,200000.0,1 year(s)
Fit Face,Junior Social Media Marketing Associate,Mumbai,200000.0,1 year(s)
Delkon Technologies,Visa Consultant,Bareilly,600000.0,1 year(s)
DeoDap International Private Limited,Corporate Sales Executive,Rajkot,300000.0,0 year(s)
Secured Engineers Private Limited,Accountant,Ludhiana,200000.0,1 year(s)
Qrata,Talent Advocate (Content + Community),Mumbai,200000.0,0 year(s)
SBAA,Accountant,Chennai,205000.0,1 year(s)
Reflex Realty LLP,Architect,Mumbai,250000.0,1 year(s)
Credeb Advisors LLP,ORM (Online Reputation Management,Navi Mumbai,300000.0,0 year(s)
CCL Advisors,Legal Analyst,Mumbai,200000.0,1 year(s)
Eduminatti,Business Development Associate,Dehradun,200000.0,1 year(s)
Wehire Talent Solutions,Paralegal,Mira Bhayandar,500000.0,1 year(s)
Dreamfoot,3D Animator,Vadodara,240000.0,0 year(s)
Dreamfoot,3D Modeller,Vadodara,216000.0,0 year(s)
Institute Of Event Management,Senior Telecaller,Dehradun,280000.0,1 year(s)
Strata Digital Geeks,Junior Search Engine Optimization (SEO) Associate,Pune,200000.0,0 year(s)
A N P TECHNOLOGIES PRIVATE LIMITED,Chief Technical Officer,Jodhpur,204000.0,1 year(s)
NiYO Solutions Incorporation,Customer Experience Officer,Bengaluru,250000.0,0 year(s)
Appsysco,Business Development Executive (Linkedin Leads Generation Expert),Mohali,200000.0,1 year(s)
Lingo Chaps Translation Services,Business Development Associate,Dehradun,260000.0,1 year(s)
Visible Gain,Photographer,Noida,300000.0,1 year(s)
Lingo Chaps Translation Services,Human Resources (HR) Manager,Dehradun,240000.0,1 year(s)
Boomcast Media Network Private Limited,Customer Acquisition Executive,"Delhi, Gurgaon, Noida",216000.0,1 year(s)
Weberelectro Systems,Corporate Sales Specialist,Ahmedabad,200000.0,0 year(s)
Satvik Solutions,Market Research Associate,"Chandigarh, Mohali, Zirakpur, Panchkula, Punjab",400000.0,1 year(s)
Heterize Infotech Private Limited,Project Management Associate,Indore,270000.0,0 year(s)
Taxfolios,Tax Executive,Ahmedabad,200000.0,0 year(s)
Qthics Offshore Staffing And Outsourcing,Associate Accountant,Ahmedabad,200000.0,0 year(s)
Flapper Fashion,Corporate Sales Executive,Gandhinagar,200000.0,1 year(s)
SAAR Advertising And Marketing,Web Developer,Dehradun,200000.0,1 year(s)
Stag International,Product Development Engineer,Meerut,360000.0,1 year(s)
Visible Gain,Graphic Designer,Noida,200000.0,0 year(s)
Akrati Jewels Incorporation,Customer Acquisition Associate,Jaipur,205000.0,1 year(s)
Illume Advisory,Junior Company Secretary (CS),Mumbai,200000.0,1 year(s)
Xboom Utilities Private Limited,Business Development Executive,Bengaluru,350000.0,1 year(s)
Appsysco,PPC Expert (Google Ads FB Ads Specialist),Mohali,200000.0,1 year(s)
DreamHii Creatives,Graphic Designer (Female),Noida,200000.0,1 year(s)
Glee Impex Private Limited,Sales Executive,Noida,250000.0,1 year(s)
IITians GATE Classes,Field Sales Executive,Bengaluru,300000.0,0 year(s)
Perky,Sales Operations Manager,Jaipur,200000.0,0 year(s)
ReNote AI Private Limited,Graphic Designer,Hyderabad,200000.0,1 year(s)
